hdi_rank,country,gii_rep,gini,rank,mat_mort_ratio,mmr_calc,adol_birth_rate,parliament,PRf,PRm,seced_f,seced_m,Sef,Sem,labour_f,labour_m,female_index,male_index,harm,healthavg,empowermentavg,lfpravg,gfm,gii_calc,gii_rep2
38,Chile,0.322,49.95,65,22,22,47.8,15.8,0.1580,0.8420,76.1,76.9,0.7610,0.7690,50.7,74.6,0.2579,0.8436,0.3950,0.5488,0.5757,0.6265,0.5828,0.3223,0.322
38,Saudi Arabia,0.257,#N/A,50,12,12,8.8,19.9,0.1990,0.8010,63.3,72.1,0.6330,0.7210,20.1,79.1,0.2800,0.8440,0.4205,0.6539,0.5574,0.4960,0.5654,0.2563,0.257
40,Slovakia,0.179,25.51,39,6,10,20.2,18.7,0.1870,0.8130,99.2,99.5,0.9920,0.9950,51.4,68.3,0.3666,0.8501,0.5122,0.6112,0.6651,0.5985,0.6243,0.1795,0.179
41,Portugal,0.091,34.2,17,10,10,9.9,34.8,0.3480,0.6520,50.8,52.2,0.5080,0.5220,53.6,64.2,0.4153,0.7208,0.5270,0.6589,0.5019,0.5890,0.5797,0.0909,0.091
42,United Arab Emirates,0.232,#N/A,46,6,10,29.7,22.5,0.2250,0.7750,77.4,64.5,0.7740,0.6450,41.9,91.6,0.3178,0.8652,0.4648,0.5917,0.5622,0.6675,0.6056,0.2324,0.232
43,Hungary,0.252,27.68,49,17,17,18,10.1,0.1010,0.8990,95.6,97.9,0.9560,0.9790,46.4,62.5,0.2965,0.8370,0.4379,0.5904,0.6244,0.5445,0.5855,0.2522,0.252
44,Latvia,0.191,35.47,41,18,18,13.6,18,0.1800,0.8200,99.3,98.8,0.9930,0.9880,54.4,67.7,0.3596,0.8478,0.5050,0.6011,0.6614,0.6105,0.6238,0.1905,0.191
45,Argentina,0.362,42.56,77,52,52,63.8,37.1,0.3710,0.6290,63.5,61.4,0.6350,0.6140,48.4,74.5,0.2345,0.7736,0.3599,0.5275,0.5534,0.6145,0.5640,0.3618,0.362
45,Croatia,0.141,30.9,31,8,10,9.5,15.2,0.1520,0.8480,92,96,0.9200,0.9600,46.4,58.7,0.3833,0.8091,0.5201,0.6622,0.6381,0.5255,0.6056,0.1411,0.141
47,Bahrain,0.233,#N/A,48,15,15,13.5,15,0.1500,0.8500,61.6,55.6,0.6160,0.5560,39.2,85.4,0.2981,0.8373,0.4396,0.6111,0.4957,0.6230,0.5736,0.2336,0.233
48,Montenegro,0.156,#N/A,33,7,10,12.2,17.3,0.1730,0.8270,86.9,96.2,0.8690,0.9620,42,56.1,0.3599,0.7939,0.4953,0.6431,0.6398,0.4905,0.5866,0.1557,0.156
49,Russian Federation,0.271,#N/A,52,25,25,23.4,14.5,0.1450,0.8550,94.6,94.7,0.9460,0.9470,56.6,71.7,0.3015,0.8641,0.4470,0.5654,0.6351,0.6415,0.6130,0.2708,0.271
50,Romania,0.339,34.67,72,31,31,34.6,12,0.1200,0.8800,86.1,92.2,0.8610,0.9220,47.6,64.9,0.2454,0.8361,0.3794,0.5483,0.6111,0.5625,0.5733,0.3382,0.339
51,Kuwait,0.335,#N/A,70,4,10,9.8,1.5,0.0150,0.9850,56.8,58.1,0.5680,0.5810,48.4,84.5,0.2426,0.8614,0.3785,0.6597,0.4244,0.6645,0.5709,0.3369,0.335
52,Belarus,0.144,#N/A,32,4,10,18.2,29.2,0.2920,0.7080,87,92.2,0.8700,0.9220,54.5,68.2,0.4008,0.8198,0.5384,0.6172,0.6560,0.6135,0.6286,0.1435,0.144
52,Oman,0.281,#N/A,54,17,17,8.1,8.2,0.0820,0.9180,59.8,57.1,0.5980,0.5710,30,85.6,0.2616,0.8526,0.4004,0.6347,0.4727,0.5780,0.5577,0.2821,0.281
54,Barbados,0.291,#N/A,59,27,27,40.7,19.6,0.1960,0.8040,93,90.6,0.9300,0.9060,62.4,70.7,0.2940,0.8450,0.4362,0.5477,0.6402,0.6655,0.6157,0.2914,0.291
54,Uruguay,0.284,39.61,55,15,15,56.1,19.2,0.1920,0.8080,55,51.6,0.5500,0.5160,55.4,76.3,0.2697,0.7898,0.4021,0.5545,0.4853,0.6585,0.5617,0.2841,0.284
56,Bulgaria,0.223,34.93,45,11,11,37.7,20.4,0.2040,0.7960,93.1,95.5,0.9310,0.9550,48.6,60.1,0.3204,0.8062,0.4586,0.5776,0.6538,0.5435,0.5899,0.2227,0.223
56,Kazakhstan,0.202,#N/A,42,12,12,27.9,20.1,0.2010,0.7990,99.7,100,0.9970,1.0000,66.1,77,0.3712,0.8829,0.5226,0.5864,0.6708,0.7155,0.6553,0.2025,0.202
58,Bahamas,0.362,#N/A,77,80,80,29.6,16.7,0.1670,0.8330,87.4,87.6,0.8740,0.8760,69.4,79.1,0.2583,0.8775,0.3991,0.5325,0.6181,0.7425,0.6252,0.3617,0.362
59,Malaysia,0.291,#N/A,59,40,40,13.6,13.2,0.1320,0.8680,75.4,79.1,0.7540,0.7910,49.3,77.6,0.2763,0.8631,0.4186,0.5678,0.5720,0.6345,0.5907,0.2914,0.291
60,Panama,0.457,50.53,100,94,94,74.5,18.3,0.1830,0.8170,70.1,66.1,0.7010,0.6610,50.5,80.5,0.1898,0.8395,0.3096,0.5189,0.5465,0.6550,0.5706,0.4574,0.457
64,Mauritius,0.38,#N/A,82,53,53,28.5,11.6,0.1160,0.8840,57,62,0.5700,0.6200,46.8,74.9,0.2139,0.8216,0.3395,0.5407,0.4987,0.6085,0.5475,0.3799,0.38
65,Trinidad and Tobago,0.324,#N/A,67,63,63,31.5,31.5,0.3150,0.6850,70.6,68.4,0.7060,0.6840,52.6,73.6,0.2602,0.7957,0.3921,0.5355,0.5780,0.6310,0.5802,0.3242,0.324
66,Costa Rica,0.308,48.44,63,25,25,56.5,33.3,0.3330,0.6670,54.5,53.8,0.5450,0.5380,46.8,76.6,0.2560,0.7713,0.3844,0.5421,0.5125,0.6170,0.5555,0.3080,0.308
66,Serbia,0.185,36.18,40,17,17,19,34,0.3400,0.6600,82.3,91.6,0.8230,0.9160,43.4,60.1,0.3431,0.7760,0.4758,0.5880,0.6533,0.5175,0.5836,0.1847,0.185
68,Cuba,0.304,#N/A,62,39,39,45.6,48.9,0.4890,0.5110,83.9,86.7,0.8390,0.8670,42.6,68.6,0.2735,0.7700,0.4037,0.5375,0.6531,0.5560,0.5801,0.3041,0.304
69,Iran (Islamic Republic of),0.509,#N/A,118,25,25,26.7,3.1,0.0310,0.9690,66.8,70.2,0.6680,0.7020,16.2,72.7,0.1418,0.8432,0.2428,0.5612,0.4843,0.4445,0.4944,0.5088,0.509
70,Georgia,0.361,42.25,76,36,36,39.7,11.3,0.1130,0.8870,96.1,97.4,0.9610,0.9740,57.3,78.4,0.2509,0.8999,0.3924,0.5418,0.6295,0.6785,0.6140,0.3609,0.361
71,Turkey,0.328,42.58,69,16,16,27.6,14.9,0.1490,0.8510,43.5,64.8,0.4350,0.6480,30.4,71.4,0.2267,0.8094,0.3542,0.5752,0.4986,0.5090,0.5265,0.3274,0.328
71,Venezuela (Bolivarian Republic of),0.461,#N/A,101,95,95,79.4,17,0.1700,0.8300,72.6,65,0.7260,0.6500,51.4,78.4,0.1873,0.8320,0.3058,0.5182,0.5429,0.6490,0.5673,0.4609,0.461
73,Sri Lanka,0.386,#N/A,87,30,30,14.8,4.9,0.0490,0.9510,80.2,80.6,0.8020,0.8060,30.2,75.6,0.2079,0.8715,0.3357,0.5750,0.5369,0.5290,0.5466,0.3858,0.386
75,Albania,0.267,#N/A,51,29,29,21.7,20.7,0.2070,0.7930,90.2,90.5,0.9020,0.9050,40.3,60.7,0.2800,0.8012,0.4150,0.5630,0.6396,0.5050,0.5666,0.2676,0.267
76,Lebanon,0.381,#N/A,83,15,15,12.4,3.1,0.0310,0.9690,53,55.4,0.5300,0.5540,23.5,70.3,0.1912,0.8016,0.3087,0.6159,0.4304,0.4690,0.4991,0.3815,0.381
77,Mexico,0.345,47.1,73,38,38,62.8,40.6,0.4060,0.5940,56.1,59,0.5610,0.5900,45.4,79.5,0.2412,0.7778,0.3682,0.5324,0.5346,0.6245,0.5623,0.3452,0.345
78,Azerbaijan,0.326,#N/A,68,25,25,59.8,16.9,0.1690,0.8310,93.9,97.5,0.9390,0.9750,61.9,68.3,0.2722,0.8503,0.4124,0.5409,0.6492,0.6510,0.6115,0.3256,0.326
79,Brazil,0.414,52.34,92,44,44,67,10.8,0.1080,0.8920,59.1,55.2,0.5910,0.5520,56.3,78.5,0.2023,0.8197,0.3246,0.5291,0.4772,0.6740,0.5542,0.4143,0.414
81,Bosnia and Herzegovina,0.158,#N/A,34,11,11,8.6,19.3,0.1930,0.8070,69.5,87.5,0.6950,0.8750,34.4,58,0.3447,0.7870,0.4794,0.6626,0.6033,0.4620,0.5695,0.1581,0.158
82,The former Yugoslav Republic of Macedonia,0.16,#N/A,36,8,10,17.6,33.3,0.3330,0.6670,40.2,55.6,0.4020,0.5560,43.9,68.1,0.3370,0.7457,0.4643,0.6192,0.4874,0.5600,0.5529,0.1603,0.16
83,Algeria,0.429,#N/A,94,140,140,10.6,25.7,0.2570,0.7430,34.1,35.7,0.3410,0.3570,16.8,70.4,0.1598,0.7131,0.2611,0.5410,0.4055,0.4360,0.4573,0.4290,0.429
84,Armenia,0.293,#N/A,61,25,25,23,10.7,0.1070,0.8930,98.5,98.1,0.9850,0.9810,54.9,73.6,0.2865,0.8832,0.4326,0.5659,0.6303,0.6425,0.6120,0.2931,0.293
84,Ukraine,0.284,#N/A,55,24,24,24.1,12.1,0.1210,0.8790,94.3,96,0.9430,0.9600,52.2,67.4,0.2851,0.8523,0.4273,0.5657,0.6282,0.5980,0.5968,0.2839,0.284
86,Jordan,0.478,#N/A,111,58,58,23.2,11.6,0.1160,0.8840,78.5,82.7,0.7850,0.8270,14.2,64.4,0.1546,0.8196,0.2601,0.5431,0.5784,0.3930,0.4979,0.4776,0.478
87,Peru,0.385,43.59,86,68,68,49.1,22.3,0.2230,0.7770,56.2,67,0.5620,0.6700,65.7,82.6,0.2335,0.8415,0.3656,0.5274,0.5378,0.7415,0.5947,0.3853,0.385
87,Thailand,0.366,#N/A,79,20,20,44.6,6.1,0.0610,0.9390,40.9,45.8,0.4090,0.4580,62.9,80.2,0.2191,0.8072,0.3447,0.5529,0.4069,0.7155,0.5440,0.3664,0.366
89,Ecuador,0.391,45.61,88,64,64,75.9,41.6,0.4160,0.5840,48.2,49.4,0.4820,0.4940,49,79.7,0.2151,0.7537,0.3347,0.5227,0.4925,0.6435,0.5492,0.3905,0.391
90,China,0.164,44.71,37,27,27,7.3,23.6,0.2360,0.7640,69.8,79.4,0.6980,0.7940,63.6,77.9,0.3874,0.8466,0.5316,0.6126,0.5924,0.7075,0.6356,0.1637,0.164
91,Fiji,0.358,#N/A,75,30,30,44.8,16,0.1600,0.8400,73.9,66.5,0.7390,0.6650,37,71.3,0.2222,0.8107,0.3488,0.5431,0.5456,0.5415,0.5434,0.3581,0.358
92,Mongolia,0.278,#N/A,53,44,44,15.7,14.5,0.1450,0.8550,89.7,85.8,0.8970,0.8580,56.5,68.8,0.2905,0.8384,0.4315,0.5602,0.6086,0.6265,0.5977,0.2781,0.278
92,Saint Lucia,0.354,#N/A,74,48,48,53.9,20.7,0.2070,0.7930,48.2,42,0.4820,0.4200,63.1,76.5,0.2314,0.7614,0.3549,0.5311,0.4465,0.6980,0.5490,0.3535,0.354
94,Jamaica,0.422,#N/A,93,89,89,59.7,16.7,0.1670,0.8330,67.1,59.4,0.6710,0.5940,57.7,72.2,0.2031,0.7978,0.3238,0.5217,0.5191,0.6495,0.5603,0.4221,0.422
95,Colombia,0.393,51.58,89,64,64,50.2,20.9,0.2090,0.7910,50.3,59.6,0.5030,0.5960,57.9,79.8,0.2188,0.8183,0.3453,0.5279,0.5054,0.6885,0.5685,0.3926,0.393
97,Suriname,0.448,#N/A,99,155,155,46.1,25.5,0.2550,0.7450,57.7,56.8,0.5770,0.5680,40.5,68.6,0.1798,0.7642,0.2911,0.5187,0.5170,0.5455,0.5269,0.4476,0.448
97,Tunisia,0.289,#N/A,58,62,62,6.8,31.3,0.3130,0.6870,37.5,49.9,0.3750,0.4990,25.1,71.3,0.2366,0.7474,0.3594,0.5770,0.4641,0.4820,0.5054,0.2888,0.289
99,Dominican Republic,0.47,49.43,107,92,92,97.9,19.1,0.1910,0.8090,57.2,55.5,0.5720,0.5550,52.3,78.7,0.1793,0.8079,0.2934,0.5167,0.5003,0.6550,0.5532,0.4696,0.47
101,Tonga,0.659,#N/A,152,124,124,15.2,0,0.0000,1.0000,91.2,91.1,0.9120,0.9110,52.8,74,0.0000,0.8906,#DIV/0!,0.5364,0.4772,0.6340,0.5455,#DIV/0!,0.659
102,Libya,0.167,#N/A,38,9,10,6.2,16,0.1600,0.8400,65.7,44.2,0.6570,0.4420,27.8,78.7,0.3308,0.7827,0.4651,0.7008,0.4668,0.5325,0.5585,0.1673,0.167
103,Belize,0.375,#N/A,81,28,28,65.9,13.3,0.1330,0.8670,77.9,77.4,0.7790,0.7740,56.3,83.6,0.2372,0.8814,0.3738,0.5368,0.5705,0.6995,0.5984,0.3753,0.375
104,Samoa,0.439,#N/A,97,51,51,25,6.1,0.0610,0.9390,77.8,70.4,0.7780,0.7040,23.1,58,0.1646,0.7784,0.2717,0.5443,0.5155,0.4055,0.4845,0.4393,0.439
105,Maldives,0.312,#N/A,64,68,68,6.7,5.9,0.0590,0.9410,34.3,30.9,0.3430,0.3090,57.3,78.8,0.2294,0.7518,0.3516,0.5741,0.3407,0.6805,0.5106,0.3115,0.312
105,Uzbekistan,0.287,#N/A,57,36,36,17.7,16.4,0.1640,0.8360,99.9,99.9,0.9990,0.9990,48.3,76.2,0.2904,0.8864,0.4375,0.5626,0.6593,0.6225,0.6135,0.2869,0.287
107,Moldova (Republic of),0.232,#N/A,46,23,23,22.6,21.8,0.2180,0.7820,95.2,97.3,0.9520,0.9730,38.8,45.6,0.2905,0.7354,0.4165,0.5694,0.6639,0.4220,0.5423,0.2320,0.232
108,Botswana,0.435,#N/A,95,129,129,32.3,9.5,0.0950,0.9050,85.1,86.7,0.8510,0.8670,73.4,81.3,0.2170,0.8963,0.3495,0.5245,0.5851,0.7735,0.6192,0.4356,0.435
109,Gabon,0.542,#N/A,127,291,291,99.9,16,0.1600,0.8400,62.3,45.9,0.6230,0.4590,39.9,57.5,0.1327,0.7094,0.2236,0.5093,0.4683,0.4870,0.4879,0.5418,0.542
110,Paraguay,0.464,50.84,104,132,132,57.4,16.8,0.1680,0.8320,46.2,47,0.4620,0.4700,58.1,84.6,0.1805,0.8088,0.2951,0.5182,0.4520,0.7135,0.5508,0.4642,0.464
111,Egypt,0.565,51.3,135,33,33,51.9,2.2,0.0220,0.9780,54.5,68.2,0.5450,0.6820,22.8,76.1,0.1240,0.8534,0.2166,0.5382,0.4631,0.4945,0.4977,0.5648,0.565
113,Indonesia,0.467,#N/A,105,126,126,49.6,17.1,0.1710,0.8290,42.9,51.7,0.4290,0.5170,50.9,83.9,0.1767,0.8190,0.2906,0.5200,0.4628,0.6740,0.5453,0.4670,0.467
115,Viet Nam,0.337,#N/A,71,54,54,38.6,24.3,0.2430,0.7570,64,76.7,0.6400,0.7670,73.8,83.2,0.2722,0.8591,0.4134,0.5346,0.5782,0.7850,0.6237,0.3373,0.337
116,Philippines,0.436,#N/A,96,114,114,61.7,27.1,0.2710,0.7290,72.8,70.3,0.7280,0.7030,50.5,78.8,0.2037,0.8263,0.3269,0.5189,0.5800,0.6465,0.5795,0.4359,0.436
117,El Salvador,0.384,42.04,85,54,54,65.2,32.1,0.3210,0.6790,39.4,44.8,0.3940,0.4480,49.1,79.2,0.2103,0.7588,0.3294,0.5266,0.4536,0.6415,0.5351,0.3845,0.384
118,Bolivia (Plurinational State of),0.446,#N/A,98,206,206,70.8,51.8,0.5180,0.4820,49.6,58.7,0.4960,0.5870,63.9,82.5,0.2039,0.7599,0.3216,0.5131,0.5194,0.7320,0.5800,0.4455,0.446
119,South Africa,0.394,65.43,90,138,138,45.5,41.2,0.4120,0.5880,73.7,76.2,0.7370,0.7620,46.2,60.2,0.2166,0.7386,0.3350,0.5200,0.6102,0.5320,0.5527,0.3939,0.394
120,Kyrgyzstan,0.394,#N/A,90,76,76,39.6,19.2,0.1920,0.8080,100,99.9,1.0000,0.9990,49.4,77.1,0.2319,0.8848,0.3675,0.5288,0.6683,0.6325,0.6069,0.3944,0.394
121,Iraq,0.525,#N/A,123,50,50,84,26.5,0.2650,0.7350,35.8,55.5,0.3580,0.5550,15.1,69.7,0.1314,0.7636,0.2242,0.5244,0.4733,0.4240,0.4721,0.5251,0.525
123,Morocco,0.494,#N/A,113,121,121,31.7,15.7,0.1570,0.8430,25.7,33.2,0.2570,0.3320,25.3,74.3,0.1374,0.7325,0.2314,0.5255,0.3650,0.4980,0.4571,0.4937,0.494
124,Nicaragua,0.462,46.15,103,150,150,88.8,41.3,0.4130,0.5870,45.7,44.1,0.4570,0.4410,49.1,80.3,0.1801,0.7420,0.2899,0.5137,0.4716,0.6470,0.5392,0.4624,0.462
125,Guatemala,0.494,50.36,113,88,88,80.7,13.9,0.1390,0.8610,37.4,36.2,0.3740,0.3620,41.3,83.6,0.1523,0.7757,0.2546,0.5188,0.3931,0.6245,0.5031,0.4939,0.494
125,Namibia,0.474,#N/A,108,265,265,76.8,37.7,0.3770,0.6230,38.1,39,0.3810,0.3900,55.7,63.3,0.1673,0.6783,0.2683,0.5111,0.4360,0.5950,0.5099,0.4737,0.474
127,Guyana,0.508,#N/A,117,229,229,88,30.4,0.3040,0.6960,68.1,53.2,0.6810,0.5320,41.8,77.2,0.1618,0.7774,0.2679,0.5111,0.5317,0.5950,0.5448,0.5083,0.508
129,Tajikistan,0.322,#N/A,65,32,32,38.1,14.7,0.1470,0.8530,98.1,88.2,0.9810,0.8820,59.4,77.5,0.2734,0.8760,0.4167,0.5453,0.6236,0.6845,0.6151,0.3226,0.322
130,Honduras,0.461,53.55,101,129,129,65,25.8,0.2580,0.7420,33.4,31.1,0.3340,0.3110,47.2,84.4,0.1685,0.7401,0.2745,0.5173,0.3870,0.6580,0.5088,0.4604,0.461
131,India,0.53,50.3,125,174,174,24.5,12.2,0.1220,0.8780,35.3,61.4,0.3530,0.6140,26.8,79.1,0.1391,0.8343,0.2385,0.5242,0.4709,0.5295,0.5075,0.5300,0.53
132,Bhutan,0.477,#N/A,110,148,148,21.4,8.3,0.0830,0.9170,5.8,13.4,0.0580,0.1340,58.7,72.8,0.1318,0.6343,0.2182,0.5281,0.2100,0.6575,0.4177,0.4776,0.477
135,Congo,0.592,#N/A,141,442,442,117.7,11.5,0.1150,0.8850,45,50,0.4500,0.5000,67.1,72.6,0.1284,0.7846,0.2207,0.5069,0.4463,0.6985,0.5407,0.5919,0.592
138,Lao People's Democratic Republic,0.468,#N/A,106,197,197,64.1,25,0.2500,0.7500,30.4,42.8,0.3040,0.4280,77.7,77,0.1820,0.7584,0.2935,0.5141,0.4211,0.7735,0.5512,0.4674,0.468
139,Bangladesh,0.52,#N/A,119,176,176,83,20,0.2000,0.8000,42,44.3,0.4200,0.4430,43.1,81,0.1484,0.7842,0.2496,0.5131,0.4426,0.6205,0.5204,0.5204,0.52
139,Ghana,0.547,#N/A,131,319,319,66.8,10.9,0.1090,0.8910,51.8,68.5,0.5180,0.6850,75.5,78.5,0.1572,0.8496,0.2653,0.5108,0.5094,0.7700,0.5852,0.5466,0.547
139,Zambia,0.526,#N/A,124,224,224,90.4,12.7,0.1270,0.8730,52.3,48.9,0.5230,0.4890,69.8,80.9,0.1587,0.8085,0.2653,0.5111,0.4555,0.7535,0.5598,0.5260,0.526
142,Sao Tome and Principe,0.524,#N/A,122,156,156,84.3,18.2,0.1820,0.8180,30.8,44.8,0.3080,0.4480,45.3,76.2,0.1435,0.7727,0.2421,0.5138,0.4211,0.6075,0.5084,0.5238,0.524
143,Cambodia,0.479,#N/A,112,161,161,51.6,19,0.1900,0.8100,13.2,26.1,0.1320,0.2610,75.5,86.7,0.1607,0.7360,0.2638,0.5173,0.3091,0.8110,0.5062,0.4789,0.479
144,Nepal,0.497,#N/A,115,258,258,71.9,29.5,0.2950,0.7050,24.1,41.2,0.2410,0.4120,79.7,86.8,0.1702,0.7763,0.2792,0.5116,0.4028,0.8325,0.5556,0.4974,0.497
